x1,x2,x3,x4
-274.3999999999939,-274.33992754067623,-274.3975225467632,-274.40284851252244
-273.79999999999376,-273.75495196624325,-273.8094892135983,-273.8530706086572
-272.9999999999936,-273.0082302821828,-273.00107964940344,-273.1307119353738
-272.1999999999934,-272.2138542227654,-272.2604749831884,-272.3510686301642
-271.3999999999932,-271.3624688405225,-271.35156548962556,-271.5146181801383
-270.499999999993,-270.47340198611266,-270.48782255695994,-270.59974587073145
-269.5999999999928,-269.58071770655243,-269.60809281668986,-269.730579144113
-268.6999999999926,-268.68677125507725,-268.70187282352305,-268.7901297357521
-267.7999999999924,-267.7831127131945,-267.82614808559623,-268.00360120602454
-266.8999999999922,-266.90596132563957,-266.93906562535386,-266.9597030939301
-266.099999999992,-266.0499195085353,-266.07588625982333,-266.1570513547375
-265.2999999999918,-265.26889910658446,-265.26999403692867,-265.2584409044108
-274.923453640147,-274.94406598800464,-275.0241410000176,-274.9486103801337
-274.1891041123179,-274.1426019257241,-274.1473780263216,-274.3100122225597
-273.31145137857976,-273.2799678784138,-273.42169430104843,-273.32836292757617
-272.3992414361049,-272.36794159099844,-272.42794672052446,-272.39299567990815
-271.43967897247217,-271.4392578001348,-271.4431893501091,-271.47419201079083
-270.49477907842555,-270.43813076574213,-270.6100240755884,-270.4840017428665
-269.5378426878046,-269.45148885289797,-269.4585993611689,-269.47879406263115
-268.50958349866255,-268.46022886400345,-268.5468635107407,-268.61583362231727
-267.4977556480354,-267.47942958318146,-267.50814826740435,-267.6790342884447
-266.509197719929,-266.46834065755513,-266.4980382908663,-266.522320593836
-265.47999529956724,-265.4452542844967,-265.47605271797187,-265.63168030956615
-264.44858886445843,-264.68372907721937,-264.4391621349073,-264.95118599373774
-275.7603462783594,-275.7464382995277,-275.8814163549982,-275.79036519105773
-274.802437574799,-274.7973052106548,-374.64046301764444,-274.83113226806455
-273.8895873528895,-273.75257462409814,-374.080452021582,-274.29980949188257
-272.7772730088356,-272.7648087056114,-374.1553284215662,-272.99654411916987
-271.7812129876247,-271.631389088686,-374.0755680026274,-272.06646481321746
-270.66073404486855,-270.58115261904703,-374.4427912757922,-270.8587200835582
-269.58601725710975,-269.4803958402363,-373.64209645909494,-269.77091669012714
-268.4804076443439,-268.40059804885374,-374.265012828769,-268.71798892785034
-267.4339808524246,-267.392521581765,-374.40564356997294,-267.5526594943654
-266.4160215509648,-266.2879487257048,-374.01324464526414,-266.4830981172796
-265.3019619447191,-264.4406714439132,-373.99011835918327,-265.010311194025
-263.4406714631786,-262.5115912614434,-0.9999999999999996,-264.2265174128472
-276.7170222375523,-375.5067572319854,-276.84594009468,-276.96050815333837
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
